billing_document,billing_document_type,creation_date,creation_time,last_change_date_time,billing_document_date,billing_document_is_cancelled,cancelled_billing_document,total_net_amount,transaction_currency,company_code,fiscal_year,accounting_document,sold_to_party
90504248,F2,2025-04-03 00:00:00+00:00,,2025-04-03 11:31:37.331000+00:00,2025-04-02 00:00:00+00:00,False,,216.1,INR,ABCD,2025,9400000249,320000083
90628265,F2,2025-05-09 00:00:00+00:00,,2025-05-09 07:21:26.332000+00:00,2025-04-30 00:00:00+00:00,False,,245.9,INR,ABCD,2025,9400123662,320000082
90628266,F2,2025-05-09 00:00:00+00:00,,2025-05-09 07:21:26.695000+00:00,2025-04-30 00:00:00+00:00,False,,287.9,INR,ABCD,2025,9400123663,320000082
90504274,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:30.485000+00:00,2025-04-02 00:00:00+00:00,True,,253.39,INR,ABCD,2025,9400000275,320000083
90504242,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:32.739000+00:00,2025-04-02 00:00:00+00:00,True,,151.69,INR,ABCD,2025,9400000243,320000083
90504239,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:32.921000+00:00,2025-04-02 00:00:00+00:00,True,,253.39,INR,ABCD,2025,9400000240,320000083
90504230,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:33.573000+00:00,2025-04-02 00:00:00+00:00,True,,253.39,INR,ABCD,2025,9400000231,320000083
90504225,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:33.946000+00:00,2025-04-02 00:00:00+00:00,True,,253.39,INR,ABCD,2025,9400000226,320000083
90504219,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:34.318000+00:00,2025-04-02 00:00:00+00:00,True,,253.39,INR,ABCD,2025,9400000220,320000083
90504267,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:30.934000+00:00,2025-04-02 00:00:00+00:00,True,,337.29,INR,ABCD,2025,9400000268,320000083
90504237,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:33.103000+00:00,2025-04-02 00:00:00+00:00,True,,168.64,INR,ABCD,2025,9400000238,320000083
90678703,F2,2025-05-16 00:00:00+00:00,,2025-07-24 11:42:22.056000+00:00,2025-05-16 00:00:00+00:00,True,,589.95,INR,ABCD,2025,9400172480,320000082
90678702,F2,2025-05-16 00:00:00+00:00,,2025-07-24 11:42:22.144000+00:00,2025-05-16 00:00:00+00:00,True,,299.0,INR,ABCD,2025,9400172479,320000082
90678701,F2,2025-05-16 00:00:00+00:00,,2025-07-24 11:42:22.229000+00:00,2025-05-16 00:00:00+00:00,True,,254.0,INR,ABCD,2025,9400172478,320000082
90678700,F2,2025-05-16 00:00:00+00:00,,2025-07-24 11:42:22.315000+00:00,2025-05-16 00:00:00+00:00,True,,245.9,INR,ABCD,2025,9400172477,320000082
90678699,F2,2025-05-16 00:00:00+00:00,,2025-07-24 11:42:22.402000+00:00,2025-05-16 00:00:00+00:00,True,,179.0,INR,ABCD,2025,9400172476,320000082
90678698,F2,2025-05-16 00:00:00+00:00,,2025-07-24 11:42:22.505000+00:00,2025-05-16 00:00:00+00:00,True,,382.9,INR,ABCD,2025,9400172475,320000082
90678696,F2,2025-05-16 00:00:00+00:00,,2025-07-24 11:42:22.684000+00:00,2025-05-16 00:00:00+00:00,True,,167.0,INR,ABCD,2025,9400172473,320000082
90504300,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:28.725000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000301,320000083
90504298,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:28.840000+00:00,2025-04-02 00:00:00+00:00,True,,533.05,INR,ABCD,2025,9400000299,320000083
90504297,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:28.928000+00:00,2025-04-02 00:00:00+00:00,True,,215.25,INR,ABCD,2025,9400000298,320000083
90504295,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:29.107000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000296,320000083
90504293,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:29.198000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000294,320000083
90504292,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:29.284000+00:00,2025-04-02 00:00:00+00:00,True,,422.03,INR,ABCD,2025,9400000293,320000083
